Manufacturer,NHTSACampaignNumber,parkIt,parkOutSide,overTheAirUpdate,NHTSAActionNumber,ReportReceivedDate,Component,Summary,Consequence,Remedy,Notes,ModelYear,Make,Model,_query_make,_query_model,_query_year,report_date_iso
Hyundai Motor America,22V311000,False,False,False,,06/05/2022,STEERING:COLUMN,"Hyundai Motor America (Hyundai) is recalling certain 2021-2022 Accent vehicles.  A bolt in the steering column may not be secured properly, which can cause the steering column to detach from the steering rack and result in a loss of steering control.",Loss of steering control can increase the risk of a crash.,"Dealers will inspect and tighten the lower steering column u-joint retention bolt, as necessary, free of charge.  Owner notification letters were mailed July 5, 2022.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 226.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",2022,HYUNDAI,ACCENT,HYUNDAI,ACCENT,2022,2022-05-06
Kia Motors America,22V322000,False,False,False,,11/05/2022,PARKING BRAKE:ELECTRICAL:CONTROL MODULE:SOFTWARE,"Kia Motor America (Kia) is recalling certain 2022 EV6 vehicles.  A software error in the Shifter Control Unit (SCU) may disengage the parking mechanism, which can allow the vehicle to rollaway.",Vehicle rollaway can increase the risk of a crash or injury.,"Drivers are recommended to park their vehicles on level ground and avoid parking on a slope/inclined surface whenever possible until the remedy has been performed.  Dealers will update the Shifter Control Unit software, free of charge.  Owner notification letters were mailed May 25, 2022.  Owners may contact Kia customer service at 1-800-333-4542.  Kia's number for this recall is SC236.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",2022,KIA,EV6,KIA,EV6,2022,2022-05-11
Hyundai Motor America,22V324000,False,False,False,,11/05/2022,PARKING BRAKE:ELECTRICAL:CONTROL MODULE:SOFTWARE,"Hyundai Motor America (Hyundai) is recalling certain 2022 Ioniq 5 vehicles.  A software error in the Shifter Control Unit (SCU) may disengage the parking mechanism, which can allow the vehicle to rollaway.",Vehicle rollaway can increase the risk of a crash or injury.,"Drivers are recommended to use the Electronic Parking Brake (EPB) when parking their vehicles until the remedy has been performed.  Dealers will update the Shifter Control Unit software, free of charge.  Owner notification letters were mailed July 14, 2022.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 228.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",2022,HYUNDAI,IONIQ 5,HYUNDAI,IONIQ 5,2022,2022-05-11
Kia Motors America,22V344000,False,False,False,,17/05/2022,ELECTRICAL SYSTEM: INSTRUMENT CLUSTER/PANEL,"Kia Motors America (Kia) is recalling certain 2022 Telluride vehicles.  Excess adhesive in a circuit board within the instrument cluster may cause the instrument cluster display screen to be blank.  As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard number 101, ""Control and Displays.""","A blank instrument cluster display screen will not show critical information, such as the odometer, which can increase the risk of a crash.","Dealers will replace the instrument cluster assembly, free of charge.  Owner notification letters were mailed July 15, 2022.  Owners may contact Kia customer service at 1-800-333-4542.  Kia's number for this recall is SC237.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",2022,KIA,TELLURIDE,KIA,TELLURIDE,2022,2022-05-17
Hyundai Motor America,22V353000,False,False,False,,18/05/2022,ELECTRICAL SYSTEM: INSTRUMENT CLUSTER/PANEL,"Hyundai Motor America (Hyundai) is recalling certain 2022 Palisade vehicles.  The instrument cluster assembly may have been manufactured with excessive adhesive, which can disable the instrument cluster display screen.","A disabled display screen will not show critical information, such as the meters, gauges, and warning lights, which can increase the risk of a crash.","Dealers will replace the instrument cluster assembly, free of charge.  Owner notification letters were mailed July 15, 2022.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 230.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",2022,HYUNDAI,PALISADE,HYUNDAI,PALISADE,2022,2022-05-18
"Kia America, Inc.",22V626000,False,True,False,,15/08/2022,TRAILER HITCHES,"Kia America, Inc. (Kia) is recalling certain 2020-2022 Telluride vehicles potentially equipped with a Genuine Kia 4-pin tow hitch harness installed as original equipment, or purchased as an accessory through a Kia dealership.  Debris and moisture accumulation on the tow hitch harness module printed circuit board (PCB) may cause an electrical short, which can result in a fire.",A fire while parked or driving can increase the risk of injury.,"Owners are advised to park outside and away from structures until the recall repair is complete.  Dealers will install a new fuse and a wiring harness extension.  Dealers will also inspect and replace the tow hitch harness assembly, as necessary.  All repairs will be performed free of charge.  Owner notification letters were mailed April 12, 2023. Owners may contact Kia customer service at 1-800-333-4542.  Kia's number for this recall is SC247.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",2021,KIA,TELLURIDE,KIA,TELLURIDE,2021,2022-08-15
Hyundai Motor America,22V633000,False,True,False,,18/08/2022,TRAILER HITCHES,"Hyundai Motor America (Hyundai) is recalling 2020-2022 Palisade vehicles potentially equipped with a tow hitch harness installed as original equipment, or purchased as an accessory through a Hyundai dealership.  Debris and moisture accumulation on the tow hitch harness module printed circuit board (PCB) may cause an electrical short, which can result in a fire.",A fire while parked or driving can increase the risk of injury.,"Owners are advised to park outside and away from structures until the recall repair is complete.  Dealers will install a new fuse and wire extension kit, as necessary, free of charge.  Owner notification letters were mailed May 18, 2023.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 235.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",2022,HYUNDAI,PALISADE,HYUNDAI,PALISADE,2022,2022-08-18
"Kia America, Inc.",22V651000,False,False,False,,29/08/2022,ELECTRICAL SYSTEM:ALTERNATOR/GENERATOR/REGULATOR,"Kia America, Inc. (Kia) is recalling certain 2023 Sportage vehicles.  The alternator battery positive terminal nut may loosen, which can result in an engine stall or an electrical surge.","An engine stall increases the risk of a crash, and an electrical surge increases the risk of a fire.","Dealers will inspect and tighten the alternator battery positive terminal nut, as necessary, free of charge.  Owner notification letters were mailed September 23, 2022.  Owners may contact Kia customer service at 1-800-333-4542.  Kia's number for this recall is SC248.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",2023,KIA,SPORTAGE,KIA,SPORTAGE,2023,2022-08-29
"Kia America, Inc.",22V703000,False,True,False,,19/09/2022,TRAILER HITCHES,"Kia America, Inc. (Kia) is recalling certain 2016-2022 Sorento, 2021-2022 Sorento Hybrid (HEV), 2022-2023 Sorento Plug-In Hybrid (PHEV), and 2017-2022 Sportage vehicles equipped with a tow hitch harness installed as original equipment, or purchased as an accessory through a Kia dealership.  Debris and moisture accumulation on the tow hitch harness module printed circuit board (PCB) may cause an electrical short, which can result in a fire.",A fire while parked or driving can increase the risk of injury.,"Owners are advised to park outside and away from structures until the recall repair is complete.  Dealers will inspect the vehicle, and, as necessary, replace the fuse and/or tow hitch harness module, free of charge.  Owner notification letters were mailed August 11, 2023.  Owners may contact Kia customer service at 1-800-333-4542.  Kia's number for this recall is SC249.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",2021,KIA,SORENTO,KIA,SORENTO,2021,2022-09-19
"Kia America, Inc.",22V899000,False,False,False,,06/12/2022,ELECTRICAL SYSTEM:PROPULSION SYSTEM:TRACTION BATTERY:THERMAL MANAGEMENT:FLUID/COOLANT,"Kia America, Inc. (Kia) is recalling certain 2020 Niro EV vehicles.  The Electric Power Control Unit (EPCU) may have been improperly sealed and may leak coolant internally.","Coolant contacting the EPCU circuit board may cause a loss of drive power, increasing the risk of a crash.","Dealers will inspect and replace the EPCU as necessary, free of charge.  Owner notification letters were mailed March 9, 2023.  Owners may contact Kia customer service at 1-800-333-4542.  Kia's number for this recall is SC258.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",2020,KIA,NIRO EV,KIA,NIRO EV,2020,2022-12-06
Hyundai Motor America,22V941000,False,False,False,,16/12/2022,ELECTRICAL SYSTEM:PROPULSION SYSTEM:TRACTION BATTERY:THERMAL MANAGEMENT:FLUID/COOLANT,Hyundai Motor America (Hyundai) is recalling certain 2021 Kona EV vehicles.  The Electric Power Control Unit (EPCU) may have been improperly sealed and may leak coolant internally.,"Coolant contacting the EPCU circuit board may cause a loss of drive power, increasing the risk of a crash.","Dealers will inspect and replace the EPCU, as necessary, free of charge.  Owner notification letters were mailed March 22, 2023.  A second notice will be sent once the final remedy is available.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 239.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",2021,HYUNDAI,KONA ELECTRIC,HYUNDAI,KONA ELECTRIC,2021,2022-12-16
Hyundai Motor America,23V181000,False,True,False,,17/03/2023,TRAILER HITCHES,"Hyundai Motor America (Hyundai) is recalling certain 2019-2023 Santa Fe, 2021-2023 Santa Fe HEV, 2022-2023 Santa Fe Plug-in HEV and Santa Cruz vehicles potentially equipped with a tow hitch harness installed as original equipment, or purchased as an accessory through a Hyundai dealership.  Water accumulation on the tow hitch harness module printed circuit board (PCB) may cause an electrical short, which can result in a fire.",A fire while parked or driving can increase the risk of injury.,"Owners are advised to park their vehicles outside and away from structures until the remedy is completed.  Dealers will install a new fuse and wire extension kit as necessary, free of charge.  Owner notification letters were mailed starting May 16, 2023.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 244.  This recall is an expansion of previous recall number 22V-633.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",2022,HYUNDAI,SANTA FE,HYUNDAI,SANTA FE,2022,2023-03-17
