campaign,mfr_recall_no,population,component_name,component_desc,part_number,supplier_name,supplier_country,defect_cause,fmvss,remedy_type,corrected_in_production,chronology_attached,chronology_note,chronology_url,pdf_url,affected_models,supplier_canonical,supplier_group
21V137000,SC206,379931,HECU,Hydraulic Electronic Control Unit,58920-D9100,Mando Pyeongtaek Plant,"Korea, Republic of","Kia Motors America (Kia) is recalling certain 2017-2021 Sportage and Cadenza vehicles.  The electrical circuit in the Hydraulic Electronic Control Unit (HECU) may short-circuit, which can cause a fire in the engine compartment.  ",,"Owners are advised to park outside and away from structures as a precaution until the recall repair is complete.  Kia will notify owners, and dealers will replace certain fuses in the electrical junction box.  Vehicles equipped with an electronic parking brake (EPB) will also receive a HECU software update.  Repairs will be performed free of charge.  The recall began on April 30, 2021.  Owners may contact Kia customer service at 1-800-333-4542.  Kia's number for this recall is SC206.     ",,True,See attached document titled “2017-2021MY Sportage and 2017-2019MY Cadenza Engine Compartment Fire Chronology”,,https://static.nhtsa.gov/odi/rcl/2021/RCLRPT-21V137-3072.PDF,CADENZA 2017; CADENZA 2018; CADENZA 2019; SPORTAGE 2017; SPORTAGE 2018; SPORTAGE 2019; SPORTAGE 2020; SPORTAGE 2021,HL Mando,HL Mando
21V137000,SC206,379931,HECU,Hydraulic Electronic Control Unit,58920-F6210,Mando Pyeongtaek Plant,"Korea, Republic of","Kia Motors America (Kia) is recalling certain 2017-2021 Sportage and Cadenza vehicles.  The electrical circuit in the Hydraulic Electronic Control Unit (HECU) may short-circuit, which can cause a fire in the engine compartment.  ",,"Owners are advised to park outside and away from structures as a precaution until the recall repair is complete.  Kia will notify owners, and dealers will replace certain fuses in the electrical junction box.  Vehicles equipped with an electronic parking brake (EPB) will also receive a HECU software update.  Repairs will be performed free of charge.  The recall began on April 30, 2021.  Owners may contact Kia customer service at 1-800-333-4542.  Kia's number for this recall is SC206.     ",,True,See attached document titled “2017-2021MY Sportage and 2017-2019MY Cadenza Engine Compartment Fire Chronology”,,https://static.nhtsa.gov/odi/rcl/2021/RCLRPT-21V137-3072.PDF,CADENZA 2017; CADENZA 2018; CADENZA 2019; SPORTAGE 2017; SPORTAGE 2018; SPORTAGE 2019; SPORTAGE 2020; SPORTAGE 2021,HL Mando,HL Mando
21V164000,SC207,142,K5: OCS Unit,Occupant Classification System Unit,80702-L2000,"IEE, S.A.",Luxembourg,"Kia Motors America (Kia) is recalling certain 2021 Telluride, K5, and Forte vehicles. The Occupant Classification and Detection System (OCS/ODS) unit may not detect the presence of a child restraint system in the front passenger seat.  As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard (FMVSS) number 208, ""Occupant Crash Protection.""",208,"Kia will notify owners, and dealers will replace the OCS/ODS unit, free of charge.  The recall began March 18, 2021.  Owners may contact Kia customer service at 1-800-333-4542.  Kia's number for this recall is SC207.","The supplier replaced the problematic relay/calibration board with an improved one on February 25, 2021. Components manufactured before February 25, 2021 were installed in K5, Telluride and Forte vehicles produced from February 3 through March 4, 2021 (248 vehicles). Of those vehicles, 142 were sold to dealers and/or customers. The remaining 106 vehicles were repaired prior to delivery to dealers.",True,"See attached document titled “2021MY K5, Telluride and Forte OCS/ODS Chronology”",,https://static.nhtsa.gov/odi/rcl/2021/RCLRPT-21V164-6064.PDF,FORTE 2021; K5 2021; TELLURIDE 2021,"IEE, S.A.",IEE
21V164000,SC207,142,Forte: OCS Unit,Occupant Classification System Unit,80702-M6000,"IEE, S.A.",Luxembourg,"Kia Motors America (Kia) is recalling certain 2021 Telluride, K5, and Forte vehicles. The Occupant Classification and Detection System (OCS/ODS) unit may not detect the presence of a child restraint system in the front passenger seat.  As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard (FMVSS) number 208, ""Occupant Crash Protection.""",208,"Kia will notify owners, and dealers will replace the OCS/ODS unit, free of charge.  The recall began March 18, 2021.  Owners may contact Kia customer service at 1-800-333-4542.  Kia's number for this recall is SC207.","The supplier replaced the problematic relay/calibration board with an improved one on February 25, 2021. Components manufactured before February 25, 2021 were installed in K5, Telluride and Forte vehicles produced from February 3 through March 4, 2021 (248 vehicles). Of those vehicles, 142 were sold to dealers and/or customers. The remaining 106 vehicles were repaired prior to delivery to dealers.",True,"See attached document titled “2021MY K5, Telluride and Forte OCS/ODS Chronology”",,https://static.nhtsa.gov/odi/rcl/2021/RCLRPT-21V164-6064.PDF,FORTE 2021; K5 2021; TELLURIDE 2021,"IEE, S.A.",IEE
21V164000,SC207,142,Telluride: ODS Unit,Occupant Detection System Unit,80702-S9000,"IEE, S.A.",Luxembourg,"Kia Motors America (Kia) is recalling certain 2021 Telluride, K5, and Forte vehicles. The Occupant Classification and Detection System (OCS/ODS) unit may not detect the presence of a child restraint system in the front passenger seat.  As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard (FMVSS) number 208, ""Occupant Crash Protection.""",208,"Kia will notify owners, and dealers will replace the OCS/ODS unit, free of charge.  The recall began March 18, 2021.  Owners may contact Kia customer service at 1-800-333-4542.  Kia's number for this recall is SC207.","The supplier replaced the problematic relay/calibration board with an improved one on February 25, 2021. Components manufactured before February 25, 2021 were installed in K5, Telluride and Forte vehicles produced from February 3 through March 4, 2021 (248 vehicles). Of those vehicles, 142 were sold to dealers and/or customers. The remaining 106 vehicles were repaired prior to delivery to dealers.",True,"See attached document titled “2021MY K5, Telluride and Forte OCS/ODS Chronology”",,https://static.nhtsa.gov/odi/rcl/2021/RCLRPT-21V164-6064.PDF,FORTE 2021; K5 2021; TELLURIDE 2021,"IEE, S.A.",IEE
21V185000,202,10,Occupant Detection System Module,Controller for ODS,,"IEE, S.A.",Luxembourg,"Hyundai Motor America (Hyundai) is recalling certain 2021 Santa Fe vehicles.  The Occupant Detection System (ODS) module may not deactivate the air bag upon detection of a child restraint system in the front passenger seat.  As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard (FMVSS) number 208, ""Occupant Crash Protection.""",208,"Hyundai will notify owners, and dealers will replace the ODS module, free of charge.  All affected vehicles have been remedied as of May 12, 2021.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 202.   ","The supplier corrected an incident relay production issue on February 26, 2021. ODS modules began using the new relays on February 28, 2021.",False,"March 2021 On March 1, 2021, the supplier informed Hyundai Motor Manufacturing Alabama (“HMMA”) of a calibration issue involving ODS modules produced during a certain production period. On March 5, 2021, HMMA informed HMC of a calibration issue and confirmed ten (10) affected Hyundai Santa Fe vehicl",,https://static.nhtsa.gov/odi/rcl/2021/RCLRPT-21V185-3469.PDF,SANTA FE 2021,"IEE, S.A.",IEE
21V577000,SC215,5143,Cluster Assy-Instrument,Instrument Cluster Assembly,94001-S9500,Hyundai Mobis Company (Jincheon Plant),"Korea, Republic of","Kia Motors America (Kia) is recalling certain 2022 Telluride vehicles.  The LCD display screen may remain blank after startup.  As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard number 101, ""Control and Displays.""",101,"Dealers will update the instrument cluster's software, free of charge.  Owner notification letters were mailed August 3, 2021.  Owners may contact Kia customer service at 1-800-333-4542.  Kia's number for this recall is SC215.","An improved software logic was applied to production beginning July 19, 2021. Vehicles produced on July 17 and July 18 were contained and repaired by Kia Georgia before being shipped to dealers.",True,See attached document titled “2022 MY Telluride Blank LCD Cluster Screen Chronology” Page 3,,https://static.nhtsa.gov/odi/rcl/2021/RCLRPT-21V577-8390.PDF,TELLURIDE 2022,Hyundai Mobis,Hyundai Mobis
21V577000,SC215,5143,Cluster Assy-Instrument,Instrument Cluster Assembly,94001-S9510,Hyundai Mobis Company (Jincheon Plant),"Korea, Republic of","Kia Motors America (Kia) is recalling certain 2022 Telluride vehicles.  The LCD display screen may remain blank after startup.  As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard number 101, ""Control and Displays.""",101,"Dealers will update the instrument cluster's software, free of charge.  Owner notification letters were mailed August 3, 2021.  Owners may contact Kia customer service at 1-800-333-4542.  Kia's number for this recall is SC215.","An improved software logic was applied to production beginning July 19, 2021. Vehicles produced on July 17 and July 18 were contained and repaired by Kia Georgia before being shipped to dealers.",True,See attached document titled “2022 MY Telluride Blank LCD Cluster Screen Chronology” Page 3,,https://static.nhtsa.gov/odi/rcl/2021/RCLRPT-21V577-8390.PDF,TELLURIDE 2022,Hyundai Mobis,Hyundai Mobis
21V862000,SC219,53,Cluster Assy-Instrument,Instrument Cluster Assembly,94001-J5370,"Continental Automotive Electronics, LLC","Korea, Republic of",Kia Motors America (Kia) is recalling certain 2020-2021 Stinger vehicles.  A software error in the instrument cluster may cause an inaccurate fuel gauge reading.,,"Dealers will update the software, free of charge.  Owner notification letters were mailed December 10, 2021.  Owners may contact Kia customer service at 1-800-333-4542.  Kia's number for this recall is SC219.",N/A,True,See attached document titled “2020-2021MY Stinger Inaccurate Fuel Gauge Instrument Cluster Display Chronology”,,https://static.nhtsa.gov/odi/rcl/2021/RCLRPT-21V862-4387.PDF,STINGER 2020; STINGER 2021,"Continental Automotive Electronics, LLC",Continental
21V862000,SC219,53,Cluster Assy-Instrument,Instrument Cluster Assembly,94001-J5371,"Continental Automotive Electronics, LLC","Korea, Republic of",Kia Motors America (Kia) is recalling certain 2020-2021 Stinger vehicles.  A software error in the instrument cluster may cause an inaccurate fuel gauge reading.,,"Dealers will update the software, free of charge.  Owner notification letters were mailed December 10, 2021.  Owners may contact Kia customer service at 1-800-333-4542.  Kia's number for this recall is SC219.",N/A,True,See attached document titled “2020-2021MY Stinger Inaccurate Fuel Gauge Instrument Cluster Display Chronology”,,https://static.nhtsa.gov/odi/rcl/2021/RCLRPT-21V862-4387.PDF,STINGER 2020; STINGER 2021,"Continental Automotive Electronics, LLC",Continental
21V862000,SC219,53,Cluster Assy-Instrument,Instrument Cluster Assembly,94001-J5380,"Continental Automotive Electronics, LLC","Korea, Republic of",Kia Motors America (Kia) is recalling certain 2020-2021 Stinger vehicles.  A software error in the instrument cluster may cause an inaccurate fuel gauge reading.,,"Dealers will update the software, free of charge.  Owner notification letters were mailed December 10, 2021.  Owners may contact Kia customer service at 1-800-333-4542.  Kia's number for this recall is SC219.",N/A,True,See attached document titled “2020-2021MY Stinger Inaccurate Fuel Gauge Instrument Cluster Display Chronology”,,https://static.nhtsa.gov/odi/rcl/2021/RCLRPT-21V862-4387.PDF,STINGER 2020; STINGER 2021,"Continental Automotive Electronics, LLC",Continental
21V862000,SC219,53,Cluster Assy-Instrument,Instrument Cluster Assembly,94001-J5381,"Continental Automotive Electronics, LLC","Korea, Republic of",Kia Motors America (Kia) is recalling certain 2020-2021 Stinger vehicles.  A software error in the instrument cluster may cause an inaccurate fuel gauge reading.,,"Dealers will update the software, free of charge.  Owner notification letters were mailed December 10, 2021.  Owners may contact Kia customer service at 1-800-333-4542.  Kia's number for this recall is SC219.",N/A,True,See attached document titled “2020-2021MY Stinger Inaccurate Fuel Gauge Instrument Cluster Display Chronology”,,https://static.nhtsa.gov/odi/rcl/2021/RCLRPT-21V862-4387.PDF,STINGER 2020; STINGER 2021,"Continental Automotive Electronics, LLC",Continental
21V862000,SC219,53,Cluster Assy-Instrument,Instrument Cluster Assembly,94011-J5520,"Continental Automotive Electronics, LLC","Korea, Republic of",Kia Motors America (Kia) is recalling certain 2020-2021 Stinger vehicles.  A software error in the instrument cluster may cause an inaccurate fuel gauge reading.,,"Dealers will update the software, free of charge.  Owner notification letters were mailed December 10, 2021.  Owners may contact Kia customer service at 1-800-333-4542.  Kia's number for this recall is SC219.",N/A,True,See attached document titled “2020-2021MY Stinger Inaccurate Fuel Gauge Instrument Cluster Display Chronology”,,https://static.nhtsa.gov/odi/rcl/2021/RCLRPT-21V862-4387.PDF,STINGER 2020; STINGER 2021,"Continental Automotive Electronics, LLC",Continental
21V862000,SC219,53,Cluster Assy-Instrument,Instrument Cluster Assembly,94011-J5521,"Continental Automotive Electronics, LLC","Korea, Republic of",Kia Motors America (Kia) is recalling certain 2020-2021 Stinger vehicles.  A software error in the instrument cluster may cause an inaccurate fuel gauge reading.,,"Dealers will update the software, free of charge.  Owner notification letters were mailed December 10, 2021.  Owners may contact Kia customer service at 1-800-333-4542.  Kia's number for this recall is SC219.",N/A,True,See attached document titled “2020-2021MY Stinger Inaccurate Fuel Gauge Instrument Cluster Display Chronology”,,https://static.nhtsa.gov/odi/rcl/2021/RCLRPT-21V862-4387.PDF,STINGER 2020; STINGER 2021,"Continental Automotive Electronics, LLC",Continental
21V908000,SC221,2956,Remote Controller Assy,"Remote Controller Assy, RR Door, RH",814C2-R0100,Daedong Door Co. (Songdo Plant),"Korea, Republic of","Kia Motors America (Kia) is recalling certain 2022 Carnival vehicles.  The remote controller assembly for the passenger-side power sliding door may malfunction, preventing the passenger-side sliding door from securely latching.",,"Dealers will replace the passenger-side power sliding door release actuator's drum and holder inside the remote controller assembly, free of charge.  Owner notification letters were mailed December 16, 2021.  Owners may contact Kia customer service at 1-800-333-4542.  Kia's number for this recall is SC221.",The injection mold for the plastic holder was corrected in production at the supplier on 9/2/21. Vehicles produced beginning on 10/27/21 were equipped with a remote controller assembly containing a corrected plastic holder. The remote controller assemblies potentially containing the out of specification plastic holders were installed in the subject vehicles produced from 7/28/21 through 10/26/21. All affected vehicles produced from 10/15/21 through 10/26/21 were held at the port and will be remedied before wholesale to dealer. This recall thus excludes vehicles produced from 10/15/21 through 10/26/21.,True,See attached document titled “2022MY Carnival Passenger Side Power Sliding Door Chronology” Page 3,,https://static.nhtsa.gov/odi/rcl/2021/RCLRPT-21V908-4735.PDF,CARNIVAL 2022,Daedong Door Co.,Daedong Door
21V938000,214,12,Integrated Central Control Unit Assembly,Main power distribution controller,91950-CWXXX,Kyungshin,"Korea, Republic of","Hyundai Motor America (Hyundai) is recalling certain 2022 Tucson vehicles.  The software installed in the Integrated Central Control Unit (ICU) may be incompatible with the vehicle, which could result in inoperative headlights and/or taillights.",,"Dealers updated the ICU software, free of charge.  All affected vehicles have been repaired and therefore no owner notification letters will be mailed.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 214.","The ICU software updated was implemented as a production running change on January 18, 2021.",False,"May 2021 HMA issued a Quality Information Report (“QIR”) to HMMA noting increased warranty claim activity regarding exterior light functionality on certain model year 2022 Hyundai Tucson vehicles in the U.S. market. June – August 2021 On June 2, 2021, NASO’s Data Review Committee (“DRC”) initiated a",,https://static.nhtsa.gov/odi/rcl/2021/RCLRPT-21V938-3905.PDF,TUCSON 2022,Kyungshin,Kyungshin
22V197000,222,16,Pipe-Oil feed,Oil Pipe connecting the cylinder head to turbocharger,282402S304,Korea Flange CO. LTD,"Korea, Republic of","Hyundai Motor America (Hyundai) is recalling certain 2022 Santa Fe and Santa Cruz vehicles.  The oil supply pipe to the turbocharger may crack, which could result in an oil leak in the engine compartment.",,"Dealers will replace the turbocharger oil supply pipe, free of charge.  Owner notification letters were mailed May 26, 2022.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall 222.  ",N/A,False,"March 2022 On March 14, 2022, HMMA informed NASO of a condition detected during inspection of newly built vehicles involving cracks on the turbocharger oil feed pipe that may cause oil to leak onto adjoining components in the engine compartment. HMMA confirmed that the oil pipe(s) were produced with",,https://static.nhtsa.gov/odi/rcl/2022/RCLRPT-22V197-7398.PDF,SANTA CRUZ 2022; SANTA FE 2022,"Korea Flange Co., Ltd",Korea Flange
22V202000,SC233,26,PIPE ASSY-OIL FEED,Oil Feed Pipe Assembly,28240-2S304,"Korea Flange Co., Ltd","Korea, Republic of","Kia Motor America (Kia) is recalling certain 2022 Sorento vehicles.  The oil supply pipe to the turbocharger may crack, which could result in an oil leak in the engine compartment.",,"Dealers will replace the turbocharger oil supply pipe, free of charge.  Owner notification letters were mailed April 22, 2022.  Owners may contact Kia customer service at 1-800-333-4542.  Kia's number for this recall is SC233.","The improved component without any potential crack was installed in vehicles produced from March 9, 2022.",True,See attached document titled “2022MY Sorento Oil Feed Pipe Chronology” Page 3,,https://static.nhtsa.gov/odi/rcl/2022/RCLRPT-22V202-1357.PDF,SORENTO 2022,"Korea Flange Co., Ltd",Korea Flange
22V304000,SC235,30,Bolt,Lower Steering Column U-Joint Bolt,56415-L1000,Kia Mexico,Mexico,"Kia Motors America (Kia) is recalling certain 2021-2022 Rio and Forte vehicles.  A bolt in the steering column may not be secured properly, which can cause the steering column to detach from the steering rack and result in a loss of steering control.",,"Dealers will tighten the lower steering column u-joint retention bolt, free of charge.  Owner notification letters were mailed May 27, 2022.  Owners may contact Kia customer service at 1-800-333-4542.  Kia's number for this recall SC235.","The supplemental torque wrench with the improper torque specification was not used on any 2022 model year Rio or Forte vehicles produced as of March 9, 2022.",True,See attached document titled “2021-2022MY Rio and Forte Lower Steering Column U-Joint Bolt Chronology”,,https://static.nhtsa.gov/odi/rcl/2022/RCLRPT-22V304-9025.PDF,FORTE 2021; FORTE 2022; RIO 2021; RIO 2022,Kia Mexico,Kia
22V311000,226,2,BOLT ASSY,Lower steering column U-joint retention bolt,56415-L1000,Kia Motor Mexico,Mexico,"Hyundai Motor America (Hyundai) is recalling certain 2021-2022 Accent vehicles.  A bolt in the steering column may not be secured properly, which can cause the steering column to detach from the steering rack and result in a loss of steering control.",,"Dealers will inspect and tighten the lower steering column u-joint retention bolt, as necessary, free of charge.  Owner notification letters were mailed July 5, 2022.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 226. ","The tooling used to install the retention bolts was updated to the correct torque specification on April 13, 2022.",False,"April 2022 On April 22, 2022, KMX notified HMA’s NASO of a condition involving an under-torqued steering column u-joint retention bolt on a 2022 model year Hyundai Accent test vehicle. The condition was discovered during a routine drive evaluation upon detection of abnormal noise in the steering col",,https://static.nhtsa.gov/odi/rcl/2022/RCLRPT-22V311-8104.PDF,ACCENT 2021; ACCENT 2022,Kia Mexico,Kia
