CAMPNO,MFGCAMPNO,MFGTXT,POTAFF,RCDATE,ODATE,COMPNAME,MFR_COMP_NAME,MFR_COMP_PTNO,MFR_COMP_DESC,FMVSS,RPNO,DESC_DEFECT,CONEQUENCE_DEFECT,CORRECTIVE_ACTION,NOTES,DO_NOT_DRIVE,PARK_OUTSIDE,affected_models
21V164000,SC207,"Kia America, Inc.",142,20210311,20210318,AIR BAGS:SENSOR:OCCUPANT CLASSIFICATION:FRONT PASSENGER,K5: OCS Unit,80702-L2000,Occupant Classification System Unit,208,,"Kia Motors America (Kia) is recalling certain 2021 Telluride, K5, and Forte vehicles. The Occupant Classification and Detection System (OCS/ODS) unit may not detect the presence of a child restraint system in the front passenger seat.  As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard (FMVSS) number 208, ""Occupant Crash Protection.""","In the event of a crash, deployment of the front passenger air bag, with a child in that seat, can increase the risk of injury to the child.","Kia will notify owners, and dealers will replace the OCS/ODS unit, free of charge.  The recall began March 18, 2021.  Owners may contact Kia customer service at 1-800-333-4542.  Kia's number for this recall is SC207.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.safercar.gov. ",No,No,FORTE 2021; K5 2021; TELLURIDE 2021
21V164000,SC207,"Kia America, Inc.",142,20210311,20210318,AIR BAGS:SENSOR:OCCUPANT CLASSIFICATION:FRONT PASSENGER,Forte: OCS Unit,80702-M6000,Occupant Classification System Unit,208,,"Kia Motors America (Kia) is recalling certain 2021 Telluride, K5, and Forte vehicles. The Occupant Classification and Detection System (OCS/ODS) unit may not detect the presence of a child restraint system in the front passenger seat.  As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard (FMVSS) number 208, ""Occupant Crash Protection.""","In the event of a crash, deployment of the front passenger air bag, with a child in that seat, can increase the risk of injury to the child.","Kia will notify owners, and dealers will replace the OCS/ODS unit, free of charge.  The recall began March 18, 2021.  Owners may contact Kia customer service at 1-800-333-4542.  Kia's number for this recall is SC207.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.safercar.gov. ",No,No,FORTE 2021; K5 2021; TELLURIDE 2021
21V164000,SC207,"Kia America, Inc.",142,20210311,20210318,AIR BAGS:SENSOR:OCCUPANT CLASSIFICATION:FRONT PASSENGER,Telluride: ODS Unit,80702-S9000,Occupant Detection System Unit,208,,"Kia Motors America (Kia) is recalling certain 2021 Telluride, K5, and Forte vehicles. The Occupant Classification and Detection System (OCS/ODS) unit may not detect the presence of a child restraint system in the front passenger seat.  As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard (FMVSS) number 208, ""Occupant Crash Protection.""","In the event of a crash, deployment of the front passenger air bag, with a child in that seat, can increase the risk of injury to the child.","Kia will notify owners, and dealers will replace the OCS/ODS unit, free of charge.  The recall began March 18, 2021.  Owners may contact Kia customer service at 1-800-333-4542.  Kia's number for this recall is SC207.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.safercar.gov. ",No,No,FORTE 2021; K5 2021; TELLURIDE 2021
21V185000,202,Hyundai Motor America,10,20210317,20210512,AIR BAGS:SENSOR:OCCUPANT CLASSIFICATION:FRONT PASSENGER,Occupant Detection System Module,,Controller for ODS,208,,"Hyundai Motor America (Hyundai) is recalling certain 2021 Santa Fe vehicles.  The Occupant Detection System (ODS) module may not deactivate the air bag upon detection of a child restraint system in the front passenger seat.  As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard (FMVSS) number 208, ""Occupant Crash Protection.""","In the event of a crash, deployment of the front passenger air bag, with a child in that seat, can increase the risk of injury to the child.","Hyundai will notify owners, and dealers will replace the ODS module, free of charge.  All affected vehicles have been remedied as of May 12, 2021.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 202.   ","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.safercar.gov. ",No,No,SANTA FE 2021
21V577000,SC215,"Kia America, Inc.",5143,20210728,20210803,ELECTRICAL SYSTEM: INSTRUMENT CLUSTER/PANEL,Cluster Assy-Instrument,94001-S9500,Instrument Cluster Assembly,101,,"Kia Motors America (Kia) is recalling certain 2022 Telluride vehicles.  The LCD display screen may remain blank after startup.  As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard number 101, ""Control and Displays.""","A blank LCD display may be missing information, such as the digital speedometer, gear selection indicator, and odometer, which may increase the risk of a crash.","Dealers will update the instrument cluster's software, free of charge.  Owner notification letters were mailed August 3, 2021.  Owners may contact Kia customer service at 1-800-333-4542.  Kia's number for this recall is SC215.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov. ",No,No,TELLURIDE 2022
21V577000,SC215,"Kia America, Inc.",5143,20210728,20210803,ELECTRICAL SYSTEM: INSTRUMENT CLUSTER/PANEL,Cluster Assy-Instrument,94001-S9510,Instrument Cluster Assembly,101,,"Kia Motors America (Kia) is recalling certain 2022 Telluride vehicles.  The LCD display screen may remain blank after startup.  As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard number 101, ""Control and Displays.""","A blank LCD display may be missing information, such as the digital speedometer, gear selection indicator, and odometer, which may increase the risk of a crash.","Dealers will update the instrument cluster's software, free of charge.  Owner notification letters were mailed August 3, 2021.  Owners may contact Kia customer service at 1-800-333-4542.  Kia's number for this recall is SC215.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov. ",No,No,TELLURIDE 2022
21V862000,SC219,"Kia America, Inc.",53,20211105,20211210,ELECTRICAL SYSTEM:INSTRUMENT PANEL:FUEL GAUGE,Cluster Assy-Instrument,94001-J5370,Instrument Cluster Assembly,,,Kia Motors America (Kia) is recalling certain 2020-2021 Stinger vehicles.  A software error in the instrument cluster may cause an inaccurate fuel gauge reading.,"An inaccurate fuel gauge may result in the vehicle unexpectedly running out of fuel and stalling, increasing the risk of a crash.","Dealers will update the software, free of charge.  Owner notification letters were mailed December 10, 2021.  Owners may contact Kia customer service at 1-800-333-4542.  Kia's number for this recall is SC219.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov. ",No,No,STINGER 2020; STINGER 2021
21V862000,SC219,"Kia America, Inc.",53,20211105,20211210,ELECTRICAL SYSTEM:INSTRUMENT PANEL:FUEL GAUGE,Cluster Assy-Instrument,94001-J5371,Instrument Cluster Assembly,,,Kia Motors America (Kia) is recalling certain 2020-2021 Stinger vehicles.  A software error in the instrument cluster may cause an inaccurate fuel gauge reading.,"An inaccurate fuel gauge may result in the vehicle unexpectedly running out of fuel and stalling, increasing the risk of a crash.","Dealers will update the software, free of charge.  Owner notification letters were mailed December 10, 2021.  Owners may contact Kia customer service at 1-800-333-4542.  Kia's number for this recall is SC219.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov. ",No,No,STINGER 2020; STINGER 2021
21V862000,SC219,"Kia America, Inc.",53,20211105,20211210,ELECTRICAL SYSTEM:INSTRUMENT PANEL:FUEL GAUGE,Cluster Assy-Instrument,94001-J5380,Instrument Cluster Assembly,,,Kia Motors America (Kia) is recalling certain 2020-2021 Stinger vehicles.  A software error in the instrument cluster may cause an inaccurate fuel gauge reading.,"An inaccurate fuel gauge may result in the vehicle unexpectedly running out of fuel and stalling, increasing the risk of a crash.","Dealers will update the software, free of charge.  Owner notification letters were mailed December 10, 2021.  Owners may contact Kia customer service at 1-800-333-4542.  Kia's number for this recall is SC219.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov. ",No,No,STINGER 2020; STINGER 2021
21V862000,SC219,"Kia America, Inc.",53,20211105,20211210,ELECTRICAL SYSTEM:INSTRUMENT PANEL:FUEL GAUGE,Cluster Assy-Instrument,94001-J5381,Instrument Cluster Assembly,,,Kia Motors America (Kia) is recalling certain 2020-2021 Stinger vehicles.  A software error in the instrument cluster may cause an inaccurate fuel gauge reading.,"An inaccurate fuel gauge may result in the vehicle unexpectedly running out of fuel and stalling, increasing the risk of a crash.","Dealers will update the software, free of charge.  Owner notification letters were mailed December 10, 2021.  Owners may contact Kia customer service at 1-800-333-4542.  Kia's number for this recall is SC219.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov. ",No,No,STINGER 2020; STINGER 2021
21V862000,SC219,"Kia America, Inc.",53,20211105,20211210,ELECTRICAL SYSTEM:INSTRUMENT PANEL:FUEL GAUGE,Cluster Assy-Instrument,94011-J5520,Instrument Cluster Assembly,,,Kia Motors America (Kia) is recalling certain 2020-2021 Stinger vehicles.  A software error in the instrument cluster may cause an inaccurate fuel gauge reading.,"An inaccurate fuel gauge may result in the vehicle unexpectedly running out of fuel and stalling, increasing the risk of a crash.","Dealers will update the software, free of charge.  Owner notification letters were mailed December 10, 2021.  Owners may contact Kia customer service at 1-800-333-4542.  Kia's number for this recall is SC219.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov. ",No,No,STINGER 2020; STINGER 2021
21V862000,SC219,"Kia America, Inc.",53,20211105,20211210,ELECTRICAL SYSTEM:INSTRUMENT PANEL:FUEL GAUGE,Cluster Assy-Instrument,94011-J5521,Instrument Cluster Assembly,,,Kia Motors America (Kia) is recalling certain 2020-2021 Stinger vehicles.  A software error in the instrument cluster may cause an inaccurate fuel gauge reading.,"An inaccurate fuel gauge may result in the vehicle unexpectedly running out of fuel and stalling, increasing the risk of a crash.","Dealers will update the software, free of charge.  Owner notification letters were mailed December 10, 2021.  Owners may contact Kia customer service at 1-800-333-4542.  Kia's number for this recall is SC219.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov. ",No,No,STINGER 2020; STINGER 2021
21V908000,SC221,"Kia America, Inc.",2956,20211119,20211216,LATCHES/LOCKS/LINKAGES:ELECTRONIC LOCK/LATCH ACTUATOR,Remote Controller Assy,814C2-R0100,"Remote Controller Assy, RR Door, RH",,,"Kia Motors America (Kia) is recalling certain 2022 Carnival vehicles.  The remote controller assembly for the passenger-side power sliding door may malfunction, preventing the passenger-side sliding door from securely latching.","A power sliding door that fails to latch may open while moving, increasing the risk of injury.","Dealers will replace the passenger-side power sliding door release actuator's drum and holder inside the remote controller assembly, free of charge.  Owner notification letters were mailed December 16, 2021.  Owners may contact Kia customer service at 1-800-333-4542.  Kia's number for this recall is SC221.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov. ",No,No,CARNIVAL 2022
21V938000,214,Hyundai Motor America,12,20211202,20211202,ELECTRICAL SYSTEM:SOFTWARE,Integrated Central Control Unit Assembly,91950-CWXXX,Main power distribution controller,,,"Hyundai Motor America (Hyundai) is recalling certain 2022 Tucson vehicles.  The software installed in the Integrated Central Control Unit (ICU) may be incompatible with the vehicle, which could result in inoperative headlights and/or taillights.","Inoperative headlights or taillights can decrease visibility for both the driver and surrounding traffic, increasing the risk of a crash.","Dealers updated the ICU software, free of charge.  All affected vehicles have been repaired and therefore no owner notification letters will be mailed.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 214.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov. ",No,No,TUCSON 2022
22V197000,222,Hyundai Motor America,16,20220328,20220526,"ENGINE AND ENGINE COOLING:ENGINE:OIL/LUBRICATION:PIPES, HOSES, AND FITTINGS",Pipe-Oil feed,282402S304,Oil Pipe connecting the cylinder head to turbocharger,,,"Hyundai Motor America (Hyundai) is recalling certain 2022 Santa Fe and Santa Cruz vehicles.  The oil supply pipe to the turbocharger may crack, which could result in an oil leak in the engine compartment.","An oil leak in the presence of an ignition source such as hot engine or exhaust components, can increase the risk of a fire.","Dealers will replace the turbocharger oil supply pipe, free of charge.  Owner notification letters were mailed May 26, 2022.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall 222.  ","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov. ",No,No,SANTA CRUZ 2022; SANTA FE 2022
22V202000,SC233,"Kia America, Inc.",26,20220329,20220422,"ENGINE AND ENGINE COOLING:ENGINE:OIL/LUBRICATION:PIPES, HOSES, AND FITTINGS",PIPE ASSY-OIL FEED,28240-2S304,Oil Feed Pipe Assembly,,,"Kia Motor America (Kia) is recalling certain 2022 Sorento vehicles.  The oil supply pipe to the turbocharger may crack, which could result in an oil leak in the engine compartment.","An oil leak in the presence of an ignition source such as hot engine or exhaust components, can increase the risk of a fire.","Dealers will replace the turbocharger oil supply pipe, free of charge.  Owner notification letters were mailed April 22, 2022.  Owners may contact Kia customer service at 1-800-333-4542.  Kia's number for this recall is SC233.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov. ",No,No,SORENTO 2022
22V304000,SC235,"Kia America, Inc.",30,20220505,20220527,STEERING:COLUMN,Bolt,56415-L1000,Lower Steering Column U-Joint Bolt,,,"Kia Motors America (Kia) is recalling certain 2021-2022 Rio and Forte vehicles.  A bolt in the steering column may not be secured properly, which can cause the steering column to detach from the steering rack and result in a loss of steering control.",Loss of steering control can increase the risk of a crash.,"Dealers will tighten the lower steering column u-joint retention bolt, free of charge.  Owner notification letters were mailed May 27, 2022.  Owners may contact Kia customer service at 1-800-333-4542.  Kia's number for this recall SC235.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov. ",No,No,FORTE 2021; FORTE 2022; RIO 2021; RIO 2022
22V311000,226,Hyundai Motor America,2,20220506,20220705,STEERING:COLUMN,BOLT ASSY,56415-L1000,Lower steering column U-joint retention bolt,,,"Hyundai Motor America (Hyundai) is recalling certain 2021-2022 Accent vehicles.  A bolt in the steering column may not be secured properly, which can cause the steering column to detach from the steering rack and result in a loss of steering control.",Loss of steering control can increase the risk of a crash.,"Dealers will inspect and tighten the lower steering column u-joint retention bolt, as necessary, free of charge.  Owner notification letters were mailed July 5, 2022.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 226. ","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov. ",No,No,ACCENT 2021; ACCENT 2022
22V322000,SC236,"Kia America, Inc.",9014,20220511,20220525,PARKING BRAKE:ELECTRICAL:CONTROL MODULE:SOFTWARE,SBW Control Unit,42951-18150,Shifter Control Unit,,,"Kia Motor America (Kia) is recalling certain 2022 EV6 vehicles.  A software error in the Shifter Control Unit (SCU) may disengage the parking mechanism, which can allow the vehicle to rollaway.",Vehicle rollaway can increase the risk of a crash or injury.,"Drivers are recommended to park their vehicles on level ground and avoid parking on a slope/inclined surface whenever possible until the remedy has been performed.  Dealers will update the Shifter Control Unit software, free of charge.  Owner notification letters were mailed May 25, 2022.  Owners may contact Kia customer service at 1-800-333-4542.  Kia's number for this recall is SC236.  ","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov. ",No,No,EV6 2022
22V324000,228,Hyundai Motor America,10729,20220511,20220714,PARKING BRAKE:ELECTRICAL:CONTROL MODULE:SOFTWARE,SBW CONTROL UNIT,42951-18110,Shifter Control Unit,,,"Hyundai Motor America (Hyundai) is recalling certain 2022 Ioniq 5 vehicles.  A software error in the Shifter Control Unit (SCU) may disengage the parking mechanism, which can allow the vehicle to rollaway.",Vehicle rollaway can increase the risk of a crash or injury.,"Drivers are recommended to use the Electronic Parking Brake (EPB) when parking their vehicles until the remedy has been performed.  Dealers will update the Shifter Control Unit software, free of charge.  Owner notification letters were mailed July 14, 2022.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 228.  ","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov. ",No,No,IONIQ 5 2022
