cmplid,sample_group,compdesc1,instability_score,tier,severity,driving_context,insufficient_info,evidence_overlap_iou,symptom_overlap_jaccard
1932237,RANDOM,ELECTRICAL SYSTEM,0,안정,CRITICAL/CRITICAL/CRITICAL,시동 시/시동 시/시동 시,False/False/False,0.333,0.379
1941597,RANDOM,ELECTRICAL SYSTEM,0,안정,CRITICAL/CRITICAL/CRITICAL,주행 중/주행 중/주행 중,False/False/False,0.333,0.812
2030807,RANDOM,ELECTRICAL SYSTEM,0,안정,CRITICAL/CRITICAL/CRITICAL,주행 중/주행 중/주행 중,False/False/False,0.333,0.533
2068556,RANDOM,UNKNOWN OR OTHER,0,안정,CRITICAL/CRITICAL/CRITICAL,정차·주차 중/정차·주차 중/정차·주차 중,False/False/False,0.333,0.363
2091540,A_multi_cmplid,FORWARD COLLISION AVOIDANCE,0,안정,SERIOUS/SERIOUS/SERIOUS,주행 중/주행 중/주행 중,False/False/False,0.333,0.329
2151181,B_unknown_with_sibling,UNKNOWN OR OTHER,0,안정,CRITICAL/CRITICAL/CRITICAL,주행 중/주행 중/주행 중,False/False/False,0.333,0.671
2187646,RANDOM,UNKNOWN OR OTHER,0,안정,CRITICAL/CRITICAL/CRITICAL,주행 중/주행 중/주행 중,False/False/False,0.333,0.596
1843184,B_unknown_with_sibling,UNKNOWN OR OTHER,0,안정,CRITICAL/CRITICAL/CRITICAL,주행 중/주행 중/주행 중,False/False/False,0.417,0.587
2163632,RANDOM,ELECTRICAL SYSTEM,0,안정,CRITICAL/CRITICAL/CRITICAL,주행 중/주행 중/주행 중,False/False/False,0.528,0.522
2162040,A_multi_cmplid,FORWARD COLLISION AVOIDANCE,0,안정,CRITICAL/CRITICAL/CRITICAL,주행 중/주행 중/주행 중,False/False/False,0.556,0.625
2162041,A_multi_cmplid,VEHICLE SPEED CONTROL,0,안정,CRITICAL/CRITICAL/CRITICAL,주행 중/주행 중/주행 중,False/False/False,0.556,0.338
1937615,RANDOM,ELECTRICAL SYSTEM,0,안정,CRITICAL/CRITICAL/CRITICAL,주행 중/주행 중/주행 중,False/False/False,0.677,0.478
1922513,RANDOM,ELECTRICAL SYSTEM,0,안정,SERIOUS/SERIOUS/SERIOUS,주행 중/주행 중/주행 중,False/False/False,0.688,0.639
2010846,A_multi_cmplid,UNKNOWN OR OTHER,0,안정,CRITICAL/CRITICAL/CRITICAL,주행 중/주행 중/주행 중,False/False/False,0.706,0.629
2192077,RANDOM,ELECTRICAL SYSTEM,0,안정,CRITICAL/CRITICAL/CRITICAL,주행 중/주행 중/주행 중,False/False/False,0.73,0.648
1996139,RANDOM,UNKNOWN OR OTHER,0,안정,SERIOUS/SERIOUS/SERIOUS,불명/불명/불명,False/False/False,0.734,0.833
1901713,A_multi_cmplid,FORWARD COLLISION AVOIDANCE,0,안정,CRITICAL/CRITICAL/CRITICAL,주행 중/주행 중/주행 중,False/False/False,0.762,0.75
1895104,RANDOM,UNKNOWN OR OTHER,0,안정,CRITICAL/CRITICAL/CRITICAL,주행 중/주행 중/주행 중,False/False/False,0.815,0.815
2060783,RANDOM,ELECTRICAL SYSTEM,0,안정,CRITICAL/CRITICAL/CRITICAL,주행 중/주행 중/주행 중,False/False/False,0.837,0.852
2187065,RANDOM,UNKNOWN OR OTHER,0,안정,CRITICAL/CRITICAL/CRITICAL,주행 중/주행 중/주행 중,False/False/False,0.949,0.641
1798754,RANDOM,UNKNOWN OR OTHER,0,안정,CRITICAL/CRITICAL/CRITICAL,주행 중/주행 중/주행 중,False/False/False,1.0,1.0
1806152,RANDOM,FORWARD COLLISION AVOIDANCE,0,안정,CRITICAL/CRITICAL/CRITICAL,주행 중/주행 중/주행 중,False/False/False,1.0,0.949
1841710,RANDOM,VEHICLE SPEED CONTROL,0,안정,CRITICAL/CRITICAL/CRITICAL,주행 중/주행 중/주행 중,False/False/False,1.0,0.733
1843078,A_multi_cmplid,UNKNOWN OR OTHER,0,안정,MINOR/MINOR/MINOR,불명/불명/불명,True/True/True,,1.0
1859971,A_multi_cmplid,BACK OVER PREVENTION,0,안정,MINOR/MINOR/MINOR,불명/불명/불명,True/True/True,,1.0
1885176,C_unknown_no_sibling,UNKNOWN OR OTHER,0,안정,CRITICAL/CRITICAL/CRITICAL,주행 중/주행 중/주행 중,False/False/False,1.0,0.457
1890746,RANDOM,ELECTRICAL SYSTEM,0,안정,MINOR/MINOR/MINOR,불명/불명/불명,True/True/True,,1.0
1901711,A_multi_cmplid,ELECTRICAL SYSTEM,0,안정,SERIOUS/SERIOUS/SERIOUS,주행 중/주행 중/주행 중,False/False/False,1.0,0.425
1906724,RANDOM,ELECTRICAL SYSTEM,0,안정,CRITICAL/CRITICAL/CRITICAL,주행 중/주행 중/주행 중,False/False/False,1.0,0.926
1910150,RANDOM,ELECTRICAL SYSTEM,0,안정,CRITICAL/CRITICAL/CRITICAL,주행 중/주행 중/주행 중,False/False/False,1.0,0.588
1917921,C_unknown_no_sibling,UNKNOWN OR OTHER,0,안정,CRITICAL/CRITICAL/CRITICAL,정차·주차 중/정차·주차 중/정차·주차 중,False/False/False,1.0,1.0
1919847,RANDOM,VEHICLE SPEED CONTROL,0,안정,CRITICAL/CRITICAL/CRITICAL,주행 중/주행 중/주행 중,False/False/False,1.0,0.525
1921909,C_unknown_no_sibling,UNKNOWN OR OTHER,0,안정,CRITICAL/CRITICAL/CRITICAL,불명/불명/불명,False/False/False,1.0,0.867
1934089,B_unknown_with_sibling,UNKNOWN OR OTHER,0,안정,MINOR/MINOR/MINOR,불명/불명/불명,True/True/True,,1.0
1962400,B_unknown_with_sibling,UNKNOWN OR OTHER,0,안정,CRITICAL/CRITICAL/CRITICAL,주행 중/주행 중/주행 중,False/False/False,1.0,1.0
1963663,RANDOM,UNKNOWN OR OTHER,0,안정,SERIOUS/SERIOUS/SERIOUS,불명/불명/불명,False/False/False,1.0,0.447
1968782,B_unknown_with_sibling,UNKNOWN OR OTHER,0,안정,MINOR/MINOR/MINOR,불명/불명/불명,True/True/True,,1.0
1969243,C_unknown_no_sibling,UNKNOWN OR OTHER,0,안정,CRITICAL/CRITICAL/CRITICAL,주행 중/주행 중/주행 중,False/False/False,1.0,0.879
1984576,RANDOM,FORWARD COLLISION AVOIDANCE,0,안정,SERIOUS/SERIOUS/SERIOUS,주행 중/주행 중/주행 중,False/False/False,1.0,1.0
1994644,C_unknown_no_sibling,UNKNOWN OR OTHER,0,안정,CRITICAL/CRITICAL/CRITICAL,주행 중/주행 중/주행 중,False/False/False,1.0,1.0
2009038,RANDOM,VEHICLE SPEED CONTROL,0,안정,CRITICAL/CRITICAL/CRITICAL,주행 중/주행 중/주행 중,False/False/False,1.0,0.6
2010847,A_multi_cmplid,BACK OVER PREVENTION,0,안정,MINOR/MINOR/MINOR,불명/불명/불명,True/True/True,,1.0
2026939,C_unknown_no_sibling,UNKNOWN OR OTHER,0,안정,CRITICAL/CRITICAL/CRITICAL,주행 중/주행 중/주행 중,False/False/False,1.0,0.576
2052924,RANDOM,ELECTRICAL SYSTEM,0,안정,CRITICAL/CRITICAL/CRITICAL,주행 중/주행 중/주행 중,False/False/False,1.0,0.852
2062173,A_multi_cmplid,FORWARD COLLISION AVOIDANCE,0,안정,CRITICAL/CRITICAL/CRITICAL,주행 중/주행 중/주행 중,False/False/False,1.0,0.437
2062174,A_multi_cmplid,LANE DEPARTURE,0,안정,CRITICAL/CRITICAL/CRITICAL,주행 중/주행 중/주행 중,False/False/False,1.0,0.521
2062175,A_multi_cmplid,LANE DEPARTURE,0,안정,CRITICAL/CRITICAL/CRITICAL,주행 중/주행 중/주행 중,False/False/False,1.0,0.411
2078659,C_unknown_no_sibling,UNKNOWN OR OTHER,0,안정,CRITICAL/CRITICAL/CRITICAL,주행 중/주행 중/주행 중,False/False/False,1.0,0.6
2087536,A_multi_cmplid,UNKNOWN OR OTHER,0,안정,MINOR/MINOR/MINOR,불명/불명/불명,True/True/True,,1.0
2087537,A_multi_cmplid,ELECTRICAL SYSTEM,0,안정,SERIOUS/SERIOUS/SERIOUS,정차·주차 중/정차·주차 중/정차·주차 중,False/False/False,1.0,0.809
2090441,RANDOM,FORWARD COLLISION AVOIDANCE,0,안정,CRITICAL/CRITICAL/CRITICAL,주행 중/주행 중/주행 중,False/False/False,1.0,0.391
2103483,RANDOM,UNKNOWN OR OTHER,0,안정,MINOR/MINOR/MINOR,불명/불명/불명,True/True/True,,1.0
2113390,RANDOM,LANE DEPARTURE,0,안정,CRITICAL/CRITICAL/CRITICAL,주행 중/주행 중/주행 중,False/False/False,1.0,0.413
2114954,B_unknown_with_sibling,UNKNOWN OR OTHER,0,안정,MINOR/MINOR/MINOR,불명/불명/불명,True/True/True,,1.0
2126696,RANDOM,UNKNOWN OR OTHER,0,안정,CRITICAL/CRITICAL/CRITICAL,불명/불명/불명,False/False/False,1.0,0.704
2136630,RANDOM,UNKNOWN OR OTHER,0,안정,CRITICAL/CRITICAL/CRITICAL,정차·주차 중/정차·주차 중/정차·주차 중,False/False/False,1.0,0.833
2150626,RANDOM,LANE DEPARTURE,0,안정,SERIOUS/SERIOUS/SERIOUS,주행 중/주행 중/주행 중,False/False/False,1.0,0.626
2161721,B_unknown_with_sibling,UNKNOWN OR OTHER,0,안정,CRITICAL/CRITICAL/CRITICAL,불명/불명/불명,False/False/False,1.0,0.679
2169816,RANDOM,UNKNOWN OR OTHER,0,안정,MINOR/MINOR/MINOR,불명/불명/불명,False/False/False,1.0,0.484
2175668,RANDOM,ELECTRICAL SYSTEM,0,안정,MINOR/MINOR/MINOR,불명/불명/불명,True/True/True,,1.0
2179780,B_unknown_with_sibling,UNKNOWN OR OTHER,0,안정,MINOR/MINOR/MINOR,불명/불명/불명,True/True/True,,1.0
2180760,C_unknown_no_sibling,UNKNOWN OR OTHER,0,안정,CRITICAL/CRITICAL/CRITICAL,주행 중/주행 중/주행 중,False/False/False,1.0,0.704
2184674,RANDOM,UNKNOWN OR OTHER,0,안정,SERIOUS/SERIOUS/SERIOUS,불명/불명/불명,False/False/False,1.0,0.5
2195545,RANDOM,ELECTRICAL SYSTEM,0,안정,CRITICAL/CRITICAL/CRITICAL,주행 중/주행 중/주행 중,False/False/False,1.0,0.378
2198785,A_multi_cmplid,VEHICLE SPEED CONTROL,0,안정,CRITICAL/CRITICAL/CRITICAL,정차·주차 중/정차·주차 중/정차·주차 중,False/False/False,1.0,0.367
2212327,B_unknown_with_sibling,UNKNOWN OR OTHER,0,안정,CRITICAL/CRITICAL/CRITICAL,정차·주차 중/정차·주차 중/정차·주차 중,False/False/False,1.0,0.56
