campaign,status,pdf_url,local_path
22V703000,ok,https://static.nhtsa.gov/odi/rcl/2022/RCLRPT-22V703-6415.PDF,C:\code\vehicle-defect-agent\docs\rcl573\22V703000.pdf
22V899000,ok,https://static.nhtsa.gov/odi/rcl/2022/RCLRPT-22V899-6222.PDF,C:\code\vehicle-defect-agent\docs\rcl573\22V899000.pdf
22V941000,ok,https://static.nhtsa.gov/odi/rcl/2022/RCLRPT-22V941-1708.PDF,C:\code\vehicle-defect-agent\docs\rcl573\22V941000.pdf
23V179000,ok,https://static.nhtsa.gov/odi/rcl/2023/RCLRPT-23V179-1887.PDF,C:\code\vehicle-defect-agent\docs\rcl573\23V179000.pdf
23V181000,ok,https://static.nhtsa.gov/odi/rcl/2023/RCLRPT-23V181-1849.PDF,C:\code\vehicle-defect-agent\docs\rcl573\23V181000.pdf
23V298000,ok,https://static.nhtsa.gov/odi/rcl/2023/RCLRPT-23V298-5456.PDF,C:\code\vehicle-defect-agent\docs\rcl573\23V298000.pdf
23V526000,ok,https://static.nhtsa.gov/odi/rcl/2023/RCLRPT-23V526-1132.PDF,C:\code\vehicle-defect-agent\docs\rcl573\23V526000.pdf
23V531000,ok,https://static.nhtsa.gov/odi/rcl/2023/RCLRPT-23V531-4118.PDF,C:\code\vehicle-defect-agent\docs\rcl573\23V531000.pdf
23V610000,ok,https://static.nhtsa.gov/odi/rcl/2023/RCLRPT-23V610-7150.PDF,C:\code\vehicle-defect-agent\docs\rcl573\23V610000.pdf
23V901000,ok,https://static.nhtsa.gov/odi/rcl/2023/RCLRPT-23V901-8581.PDF,C:\code\vehicle-defect-agent\docs\rcl573\23V901000.pdf
24V169000,ok,https://static.nhtsa.gov/odi/rcl/2024/RCLRPT-24V169-4902.PDF,C:\code\vehicle-defect-agent\docs\rcl573\24V169000.pdf
24V200000,ok,https://static.nhtsa.gov/odi/rcl/2024/RCLRPT-24V200-2390.PDF,C:\code\vehicle-defect-agent\docs\rcl573\24V200000.pdf
24V204000,ok,https://static.nhtsa.gov/odi/rcl/2024/RCLRPT-24V204-3334.PDF,C:\code\vehicle-defect-agent\docs\rcl573\24V204000.pdf
24V246000,ok,https://static.nhtsa.gov/odi/rcl/2024/RCLRPT-24V246-1564.PDF,C:\code\vehicle-defect-agent\docs\rcl573\24V246000.pdf
24V287000,no_url,,
24V308000,ok,https://static.nhtsa.gov/odi/rcl/2024/RCLRPT-24V308-1849.PDF,C:\code\vehicle-defect-agent\docs\rcl573\24V308000.pdf
24V338000,no_url,,
24V358000,ok,https://static.nhtsa.gov/odi/rcl/2024/RCLRPT-24V358-2557.PDF,C:\code\vehicle-defect-agent\docs\rcl573\24V358000.pdf
24V529000,ok,https://static.nhtsa.gov/odi/rcl/2024/RCLRPT-24V529-5689.PDF,C:\code\vehicle-defect-agent\docs\rcl573\24V529000.pdf
24V583000,ok,https://static.nhtsa.gov/odi/rcl/2024/RCLRPT-24V583-3553.PDF,C:\code\vehicle-defect-agent\docs\rcl573\24V583000.pdf
24V693000,ok,https://static.nhtsa.gov/odi/rcl/2024/RCLRPT-24V693-6879.PDF,C:\code\vehicle-defect-agent\docs\rcl573\24V693000.pdf
24V757000,already_exists,https://static.nhtsa.gov/odi/rcl/2024/RCLRPT-24V757-9102.PDF,C:\code\vehicle-defect-agent\docs\rcl573\24V757000.pdf
24V843000,ok,https://static.nhtsa.gov/odi/rcl/2024/RCLRPT-24V843-7446.PDF,C:\code\vehicle-defect-agent\docs\rcl573\24V843000.pdf
24V867000,ok,https://static.nhtsa.gov/odi/rcl/2024/RCLRPT-24V867-8124.PDF,C:\code\vehicle-defect-agent\docs\rcl573\24V867000.pdf
24V868000,ok,https://static.nhtsa.gov/odi/rcl/2024/RCLRPT-24V868-6505.PDF,C:\code\vehicle-defect-agent\docs\rcl573\24V868000.pdf
24V877000,ok,https://static.nhtsa.gov/odi/rcl/2024/RCLRPT-24V877-1247.PDF,C:\code\vehicle-defect-agent\docs\rcl573\24V877000.pdf
24V879000,ok,https://static.nhtsa.gov/odi/rcl/2024/RCLRPT-24V879-3883.PDF,C:\code\vehicle-defect-agent\docs\rcl573\24V879000.pdf
25V006000,ok,https://static.nhtsa.gov/odi/rcl/2025/RCLRPT-25V006-1666.PDF,C:\code\vehicle-defect-agent\docs\rcl573\25V006000.pdf
25V064000,ok,https://static.nhtsa.gov/odi/rcl/2025/RCLRPT-25V064-6228.PDF,C:\code\vehicle-defect-agent\docs\rcl573\25V064000.pdf
25V065000,ok,https://static.nhtsa.gov/odi/rcl/2025/RCLRPT-25V065-7951.PDF,C:\code\vehicle-defect-agent\docs\rcl573\25V065000.pdf
25V115000,ok,https://static.nhtsa.gov/odi/rcl/2025/RCLRPT-25V115-9859.PDF,C:\code\vehicle-defect-agent\docs\rcl573\25V115000.pdf
25V235000,ok,https://static.nhtsa.gov/odi/rcl/2025/RCLRPT-25V235-2216.PDF,C:\code\vehicle-defect-agent\docs\rcl573\25V235000.pdf
25V291000,ok,https://static.nhtsa.gov/odi/rcl/2025/RCLRPT-25V291-2734.PDF,C:\code\vehicle-defect-agent\docs\rcl573\25V291000.pdf
25V351000,ok,https://static.nhtsa.gov/odi/rcl/2025/RCLRPT-25V351-6553.pdf,C:\code\vehicle-defect-agent\docs\rcl573\25V351000.pdf
25V426000,ok,https://static.nhtsa.gov/odi/rcl/2025/RCLRPT-25V426-6171.pdf,C:\code\vehicle-defect-agent\docs\rcl573\25V426000.pdf
25V482000,ok,https://static.nhtsa.gov/odi/rcl/2025/RCLRPT-25V482-0632.pdf,C:\code\vehicle-defect-agent\docs\rcl573\25V482000.pdf
25V606000,ok,https://static.nhtsa.gov/odi/rcl/2025/RCLRPT-25V606-6672.pdf,C:\code\vehicle-defect-agent\docs\rcl573\25V606000.pdf
25V649000,ok,https://static.nhtsa.gov/odi/rcl/2025/RCLRPT-25V649-8440.pdf,C:\code\vehicle-defect-agent\docs\rcl573\25V649000.pdf
25V659000,ok,https://static.nhtsa.gov/odi/rcl/2025/RCLRPT-25V659-2787.pdf,C:\code\vehicle-defect-agent\docs\rcl573\25V659000.pdf
25V797000,no_url,,
25V808000,ok,https://static.nhtsa.gov/odi/rcl/2025/RCLRPT-25V808-2163.pdf,C:\code\vehicle-defect-agent\docs\rcl573\25V808000.pdf
25V874000,no_url,,
25V893000,ok,https://static.nhtsa.gov/odi/rcl/2025/RCLRPT-25V893-5513.pdf,C:\code\vehicle-defect-agent\docs\rcl573\25V893000.pdf
26V046000,ok,https://static.nhtsa.gov/odi/rcl/2026/RCLRPT-26V046-2043.pdf,C:\code\vehicle-defect-agent\docs\rcl573\26V046000.pdf
26V047000,ok,https://static.nhtsa.gov/odi/rcl/2026/RCLRPT-26V047-2209.pdf,C:\code\vehicle-defect-agent\docs\rcl573\26V047000.pdf
26V068000,ok,https://static.nhtsa.gov/odi/rcl/2026/RCLRPT-26V068-0010.pdf,C:\code\vehicle-defect-agent\docs\rcl573\26V068000.pdf
26V169000,ok,https://static.nhtsa.gov/odi/rcl/2026/RCLRPT-26V169-9259.pdf,C:\code\vehicle-defect-agent\docs\rcl573\26V169000.pdf
26V316000,ok,https://static.nhtsa.gov/odi/rcl/2026/RCLRPT-26V316-9486.pdf,C:\code\vehicle-defect-agent\docs\rcl573\26V316000.pdf
26V400000,already_exists,https://static.nhtsa.gov/odi/rcl/2026/RCLRPT-26V400-5456.pdf,C:\code\vehicle-defect-agent\docs\rcl573\26V400000.pdf
